Otto Adams,FTW (1957)
Danny Ainge,BOS (2003-20)
Koby Altman,CLE (2017-20)
Jack Ankerson,"DLC/SAA (1973-74), VIR (1974-76)"
Al Attles,"GSW (1976-86), GSW (1997)"
Red Auerbach,BOS (1950-84)
Joe Axelson,"CIN/KCO/KCK (1969-79), KCK/SAC (1982-88)"
Lon Babby,PHO (2013)
Pete Babcock,"DEN (1987-90), ATL (1990-2003)"
Rob Babcock,TOR (2004-06)
Mel Basel,NJA/NYA (1967-69)
Bob Bass,"FLO (1971-72), MMP/MMT (1972-73), MMT/MMS (1974-75), SAS (1979-94), CHH (1995-2002), NOH (2002-04)"
Elgin Baylor,LAC (1986-2008)
Clair Bee,BLB (1952-54)
John Begzos,"SAA/SAS (1974-79), KCK (1979-80)"
Carl Bennett,FTW (1948-54)
Bill Bertka,NOJ (1974-76)
Al Bianchi,"WSA/VIR (1970-74), NYK (1987-91)"
Danny Biasone,SYR (1955-63)
Bernie Bickerstaff,"DEN (1990-97), CHA (2003-07)"
Mark Binstein,PTC (1971-72)
Larry Bird,"IND (2003-12), IND (2013-17)"
Marty Blake,"STL/ATL (1960-70), PTP/PTC (1970-71)"
Lance Blanks,PHO (2010-13)
Roy Boe,"NYA (1973-74), NYA/NYN/NJN (1975-78)"
Vince Boryla,"NYK (1960-61), LAS/UTS (1970-72), DEN (1984-87)"
Jeff Bower,"NOH/NOK (2005-10), DET (2014-18)"
Elton Brand,PHI (2019-20)
Jim Brewer,MIN (1990-92)
Bob Briner,TEX/DLC (1971-73)
Magnus Brinkman,SHE (1949-50)
Allan Bristow,"CHH (1990-91), DEN (1997-98), NOH (2004-05)"
Brett Brown,PHI (2018-19)
Larry Brown,PHI (1997-98)
Walter Brown,BOS (1946-50)
Chad Buchanan,POR (2011-12)
Bucky Buckwalter,"SEA (1973), POR (1986-92)"
Mike Budenholzer,ATL (2015-17)
R.C. Buford,SAS (2002-20)
Trevor Bukstein,PHO (2019)
John Calipari,NJN (1996-99)
Lou Carnesecca,NYA (1970-73)
M.L. Carr,BOS (1994-97)
Charles Cavagnaro,NOB/MMP (1970-72)
Dave Checketts,"UTA (1987-89), NYK (1991), NYK (1999)"
Rich Cho,"POR (2010-11), CHA/CHO (2011-18)"
Jeffrey Cohen,KCK (1981-82)
Edwin Coil,DET (1965-75)
Bryan Colangelo,"PHO (1994-2006), TOR (2006-13), PHI (2016-18)"
Jerry Colangelo,"PHO (1968-94), PHI (2016)"
Jim Collier,UTS (1974-75)
Doug Collins,DET (1995-98)
Tim Connelly,DEN (2013-20)
Clifford Courtney,INO (1952-53)
Bob Cousins,ATL (1970-72)
Pete D'Alessandro,SAC (2013-15)
Mike D'Antoni,"DEN (1998-2000), PHO (2006-07)"
Bill Davidson,DET (1978-79)
Harold Davis,DNN (1949-50)
Carroll Dawson,HOU (1996-2007)
Dave DeBusschere,"NYA (1974-75), NYK (1982-86)"
Don DeJardin,"HSM/CAR (1969-70), PHI (1970-73)"
Vinny Del Negro,LAC (2012)
Don Delaney,CLE (1980-82)
Fred Delano,FTW/DET (1957-58)
Dell Demps,NOH/NOP (2010-19)
Tony DiLeo,PHI (2012-13)
Vlade Divac,SAC (2015-20)
Eddie Donovan,"NYK (1965-70), BUF (1970-75), NYK (1975-82)"
Joe Dumars,"DET (2000-14), SAC (2020)"
Mike Dunleavy,"MIL (1992-97), LAC (2008-10)"
Bill Dyer,"BLB (1947-50), BLB (1951-52)"
Dick Eicher,DNR (1967-69)
Loren Ellis,WAT (1949-50)
Bob Elmer,BLB (1952)
Wayne Embry,"MIL (1972-77), CLE (1986-99), TOR (2006)"
John Erickson,MIL (1968-70)
Charles Escoe,DTF (1946-47)
Joseph Fay,PRO (1946-49)
Bob Feerick,SFW/GSW (1963-74)
Oscar Feldman,DET (1975-77)
Arnie Ferrin,UTS (1972-74)
Leo Ferris,SYR (1949-54)
Bob Ferry,BAL/CAP/WSB (1973-90)
Danny Ferry,"CLE (2005-10), ATL (2012-15), NOP (2019)"
Bill Fitch,CLE (1973-79)
Gar Forman,CHI (2009-20)
Bob Foster,WSC (1950-51)
Lawrence Frank,LAC (2017-20)
John Gabriel,ORL (1996-2004)
Dave Gavitt,BOS (1990-94)
Michael Gearon,ATL (1977-79)
Harry Glickman,POR (1970-81)
Edward Gottlieb,PHW/SFW (1952-63)
Chris Grant,CLE (2010-14)
Keith Grant,DAL (1996)
Brad Greenberg,PHI (1996-97)
Ed Gregory,GSW (1995)
David Griffin,"CLE (2014-17), NOP (2019-20)"
Alex Groza,SDA (1972-75)
Ernie Grunfeld,"NYK (1991-99), MIL (1999-2003), WAS (2003-19)"
Glen Grunwald,"DEN (1990), TOR (1997-2004), NYK (2011-14)"
Richie Guerin,ATL (1972-73)
Les Habegger,SEA (1983-85)
William Hale,"INJ (1948-49), OAK/WSA (1967-70)"
John Hammond,MIL (2008-17)
Harry Hannin,CHP (1961-62)
Alex Hannum,DNR (1971-74)
James Hardy,ANA/LAS (1967-70)
Del Harris,MIL (1987-92)
Larry Harris,MIL (2003-08)
Les Harrison,ROC/CIN (1948-58)
Lew Hayman,TRH (1946-47)
Rob Hennigan,ORL (2012-17)
Rod Higgins,CHA (2007-11)
Sam Hinkie,PHI (2013-16)
Paul Hoffman,CHZ/BAL (1963-65)
Eddie Holman,MNM (1967-68)
Red Holzman,NYK (1970-75)
Jon Horst,MIL (2017-20)
Bob Houbregs,SEA (1969-73)
Ron Hrovat,CLE (1979-80)
Stu Inman,POR (1981-86)
Ned Irish,NYK (1946-57)
Dan Issel,DEN (1998-2001)
Phil Jackson,NYK (2014-17)
Stu Jackson,VAN (1994-2000)
Buddy Jeannette,"BLB (1950-51), BAL (1965-68), MNP/PTP (1969-70)"
Magic Johnson,LAL (2017-19)
Emory Jones,STB (1946-50)
James Jones,PHO (2019-20)
Michael Jordan,WAS (2000-03)
David Kahn,MIN (2009-13)
Artūras Karnišovas,CHI (2020)
Stan Kasten,ATL (1979-90)
Bob Kauffman,DET (1977-78)
Irv Kaze,"SDA/SDS (1975-76), BUF/SDC (1978-80)"
Nick Kerbawy,DET (1958-61)
Ben Kerner,TRI/MLH/STL (1949-60)
Steve Kerr,PHO (2007-10)
J.R. Kimbrough,INO (1949-52)
Billy King,"PHI (1998-2007), NJN/BRK (2010-16)"
Dick Klein,CHI (1967-69)
Billy Knight,"VAN/MEM (2000-02), ATL (2003-08)"
Irv Kosloff,SYR/PHI (1963-66)
Jon Kovler,CHI (1976-78)
Jerry Krause,"CHI (1976), CHI (1985-2003)"
John Kundla,MNL (1957-59)
Mitch Kupchak,"LAL (2000-17), CHO (2018-20)"
Frank Lane,CHP/CHZ (1962-63)
Frank Layden,NOJ/UTA (1979-87)
